City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,west island,-12.1568,96.8225,23.99,94,75,5.14,CC,1722813895
1,hermanus,-34.4187,19.2345,10.05,65,80,6.76,ZA,1722813607
2,adamstown,-25.066,-130.1015,21.3,78,91,7.87,PN,1722813897
3,stanley,54.868,-1.6985,15.4,92,40,3.09,GB,1722813898
4,dzhalagash,45.0833,64.6667,24.88,28,1,2.78,KZ,1722813899
5,labrador city,52.9463,-66.9114,15.95,67,75,5.36,CA,1722813611
6,puerto natales,-51.7236,-72.4875,1.08,98,99,0.54,CL,1722813901
7,bethel,41.3712,-73.414,24.38,88,54,0.89,US,1722813903
8,butiama,-1.7667,33.9667,17.21,64,66,0.27,TZ,1722813904
9,port elizabeth,-33.918,25.5701,11.16,62,0,7.2,ZA,1722813905
10,iqaluit,63.7506,-68.5145,5.85,86,100,2.57,CA,1722813906
11,bilibino,68.0546,166.4372,9.54,54,75,1.78,RU,1722813907
12,igarka,67.4667,86.5833,7.22,73,2,6.03,RU,1722813908
13,ta`u,-14.2336,-169.5144,26.77,65,100,1.96,AS,1722813909
14,albany,42.6001,-73.9662,27.47,75,44,2.3,US,1722813830
15,port-aux-francais,-49.35,70.2167,1.89,66,20,8.05,TF,1722813912
16,chibougamau,49.9168,-74.3659,17.79,59,40,4.12,CA,1722813914
17,ushuaia,-54.8,-68.3,-0.19,59,75,4.63,AR,1722813784
18,grytviken,-54.2811,-36.5092,-1.05,93,99,3.36,GS,1722813916
19,invercargill,-46.4,168.35,9.45,79,57,3.13,NZ,1722813917
20,edinburgh of the seven seas,-37.0676,-12.3116,13.31,84,52,11.66,SH,1722813918
21,navasota,30.388,-96.0877,35.62,60,10,3.84,US,1722813691
22,petropavlovsk-kamchatsky,53.0452,158.6483,16.33,67,20,2.0,RU,1722813921
23,badger,64.8,-147.5333,24.09,53,0,2.57,US,1722813922
24,punta arenas,-53.15,-70.9167,0.06,100,100,1.54,CL,1722813920
25,avarua,-21.2078,-159.775,25.03,65,4,4.12,CK,1722813924
26,ribeira grande,38.5167,-28.7,24.87,94,12,2.68,PT,1722813925
27,fortuna,40.5982,-124.1573,16.66,93,100,4.63,US,1722813877
28,namibe,-15.1961,12.1522,15.84,86,1,2.05,AO,1722813927
29,iskateley,67.6803,53.1512,6.17,78,98,6.43,RU,1722813930
30,yellowknife,62.456,-114.3525,22.29,72,75,3.6,CA,1722813931
31,dalmatovo,56.26,62.9362,13.78,96,16,3.08,RU,1722813932
32,copala,16.65,-98.9833,28.75,67,88,3.74,MX,1722813933
33,howard springs,-12.497,131.047,23.95,99,88,3.84,AU,1722813934
34,waitangi,-43.9535,-176.5597,9.9,71,100,1.79,NZ,1722813792
35,atafu village,-8.5421,-172.5159,27.72,80,83,5.65,TK,1722813936
36,udachny,66.4167,112.4,18.16,49,63,3.85,RU,1722813938
37,tangalle,6.024,80.7911,26.17,80,100,5.02,LK,1722813939
38,qaqortoq,60.7167,-46.0333,6.82,79,0,1.83,GL,1722813940
39,strugi-krasnyye,58.2675,29.1114,13.06,95,8,1.02,RU,1722813942
40,vadso,70.0744,29.7487,11.49,93,100,5.66,NO,1722813943
41,aral,40.5156,81.2636,25.04,41,48,1.22,CN,1722813944
42,sao tome,0.3365,6.7273,23.39,77,99,2.86,ST,1722813719
43,brookings,44.3114,-96.7984,23.19,88,75,4.63,US,1722813947
44,harper,4.375,-7.7169,24.16,84,85,2.09,LR,1722813948
45,sitka,57.0531,-135.33,23.71,44,1,1.72,US,1722813949
46,aasiaat,68.7098,-52.8699,4.24,87,28,2.45,GL,1722813950
47,el bolson,-41.9667,-71.5167,3.95,100,100,0.17,AR,1722813680
48,skadovs'k,46.1161,32.9112,20.49,81,5,7.29,UA,1722813952
49,frontera,26.9333,-101.45,36.05,32,20,5.14,MX,1722813953
50,east london,-33.0153,27.9116,13.79,55,63,9.74,ZA,1722813954
51,ilulissat,69.2167,-51.1,8.01,81,75,1.54,GL,1722813956
52,georgetown,5.4112,100.3354,26.64,84,20,1.03,MY,1722813892
53,shambu,9.5667,37.1,11.17,96,98,0.67,ET,1722813958
54,rongelap,11.1635,166.8941,28.64,78,52,5.31,MH,1722813959
55,kodiak,57.79,-152.4072,11.73,100,100,4.12,US,1722813960
56,jinzhou,41.1078,121.1417,23.01,98,89,2.94,CN,1722813961
57,ngong,-1.3618,36.6566,14.88,69,70,2.26,KE,1722813962
58,beyneu,45.3167,55.2,28.52,34,67,1.28,KZ,1722813963
59,holualoa,19.6228,-155.9522,26.91,85,75,4.63,US,1722813965
60,carutapera,-1.195,-46.02,25.75,79,44,3.46,BR,1722813966
61,mossel bay,-34.1831,22.146,6.96,71,5,6.22,ZA,1722813967
62,narvik,68.4384,17.4272,15.67,64,33,3.4,NO,1722813968
63,vilyuysk,63.7553,121.6247,17.24,50,96,3.42,RU,1722813970
64,alofi,-19.0595,-169.9187,26.94,78,75,5.14,NU,1722813971
65,mwinilunga,-11.7358,24.4293,15.58,29,3,2.04,ZM,1722813972
66,puerto aysen,-45.4,-72.7,3.6,100,100,0.69,CL,1722813973
67,waddan,29.1614,16.139,30.52,23,0,5.62,LY,1722813974
68,ad dabbah,18.05,30.95,33.26,44,30,4.75,SD,1722813975
69,wailua homesteads,22.0669,-159.378,28.44,67,0,6.69,US,1722813976
70,hawaiian paradise park,19.5933,-154.9731,28.26,74,75,5.14,US,1722813978
71,tiksi,71.6872,128.8694,11.68,62,100,3.27,RU,1722813979
72,northam,51.0333,-4.2167,16.48,89,75,6.29,GB,1722813980
